iter	RMSE
0	2368.627661
1	2367.128861
2	2365.642683
3	2364.083864
4	2362.429737
5	2361.063548
6	2359.491469
7	2358.010137
8	2356.487736
9	2355.028231
10	2353.340275
11	2351.762267
12	2350.295137
13	2348.721776
14	2347.160658
15	2345.524007
16	2344.085436
17	2342.608604
18	2341.041627
19	2339.519938
20	2338.169097
21	2336.612136
22	2335.255973
23	2333.810617
24	2332.372539
25	2330.80657
26	2329.236767
27	2327.8235
28	2326.319208
29	2324.75998
30	2323.239819
31	2321.68102
32	2320.172843
33	2318.759474
34	2317.430011
35	2315.986511
36	2314.589554
37	2313.083829
38	2311.582046
39	2310.215775
40	2308.733945
41	2307.196089
42	2305.91301
43	2304.397443
44	2303.014033
45	2301.49008
46	2300.130955
47	2298.721032
48	2297.162381
49	2295.608599
50	2294.136402
51	2292.808998
52	2291.42462
53	2290.061847
54	2288.587614
55	2286.93914
56	2285.571703
57	2284.029251
58	2282.444329
59	2280.847984
60	2279.74853
61	2278.246428
62	2276.670277
63	2275.257565
64	2273.703992
65	2272.185562
66	2270.686033
67	2269.323072
68	2267.930623
69	2266.443935
70	2265.030863
71	2263.719755
72	2262.393454
73	2260.96611
74	2259.377745
75	2257.859919
76	2256.461144
77	2254.917428
78	2253.460927
79	2252.071075
80	2250.647102
81	2249.189185
82	2247.780031
83	2246.368588
84	2245.085761
85	2243.6824
86	2242.391509
87	2240.994335
88	2239.537056
89	2237.975094
90	2236.663767
91	2235.638718
92	2234.181505
93	2232.760625
94	2231.375207
95	2229.925168
96	2228.765582
97	2227.324181
98	2226.121137
99	2224.624626
100	2223.196044
101	2221.748516
102	2220.263054
103	2218.979345
104	2217.554154
105	2216.056105
106	2214.616394
107	2213.22072
108	2212.067387
109	2210.699163
110	2209.568443
111	2208.293141
112	2206.812398
113	2205.339223
114	2203.920963
115	2202.603316
116	2201.087536
117	2199.728184
118	2198.404988
119	2197.084204
120	2195.694325
121	2194.59789
122	2193.301245
123	2191.938023
124	2190.639439
125	2189.11903
126	2187.78518
127	2186.397347
128	2184.998673
129	2183.675217
130	2182.443084
131	2181.153534
132	2179.810981
133	2178.491741
134	2177.269488
135	2175.769286
136	2174.443528
137	2172.994673
138	2171.620986
139	2170.365358
140	2169.106716
141	2167.718984
142	2166.362127
143	2165.145234
144	2163.849292
145	2162.526099
146	2161.055636
147	2159.56519
148	2158.287878
149	2157.027812
150	2155.739951
151	2154.307368
152	2152.931354
153	2151.695581
154	2150.491736
155	2149.036853
156	2147.602811
157	2146.345084
158	2145.162949
159	2143.963434
160	2142.662035
161	2141.580456
162	2140.115052
163	2138.835543
164	2137.62156
165	2136.227094
166	2135.187851
167	2133.997017
168	2132.902673
169	2131.630721
170	2130.400068
171	2129.199051
172	2127.857695
173	2126.594089
174	2125.454458
175	2124.192046
176	2122.718935
177	2121.438416
178	2120.094598
179	2118.800715
180	2117.568436
181	2116.172307
182	2114.877433
