iter	Passed	Remaining
0	2	11856
1	8	21354
2	15	25719
3	21	27159
4	23	22981
5	29	24247
6	35	25566
7	39	24457
8	45	25214
9	51	25865
10	55	25183
11	62	25793
12	68	26332
13	69	24892
14	76	25473
15	78	24484
16	84	24855
17	85	23692
18	92	24151
19	99	24711
20	105	25006
21	112	25354
22	113	24475
23	119	24704
24	125	25047
25	131	25250
26	138	25504
27	144	25726
28	151	25984
29	154	25666
30	155	24939
31	162	25154
32	168	25387
33	175	25576
34	181	25708
35	187	25836
36	193	26007
37	194	25429
38	201	25569
39	207	25748
40	208	25204
41	214	25358
42	221	25514
43	227	25664
44	234	25772
45	240	25914
46	246	26010
47	253	26162
48	260	26297
49	261	25889
50	265	25770
51	266	25367
52	272	25473
53	279	25600
54	285	25680
55	286	25325
56	293	25415
57	299	25500
58	305	25577
59	308	25427
60	315	25515
61	317	25262
62	318	24937
63	324	25025
64	330	25096
65	337	25210
66	343	25294
67	350	25413
68	357	25513
69	363	25609
70	369	25679
71	376	25774
72	383	25852
73	386	25732
74	393	25808
75	399	25893
76	406	25976
77	412	26036
78	419	26118
79	421	25907
80	427	25968
81	433	26024
82	437	25919
83	444	25988
84	450	26031
85	450	25754
86	456	25801
87	462	25833
88	469	25885
89	469	25622
90	470	25362
91	470	25120
92	477	25196
93	480	25098
94	486	25136
95	493	25188
96	499	25230
97	502	25147
98	508	25176
99	514	25226
100	521	25294
101	522	25107
102	528	25143
103	535	25199
104	542	25274
105	548	25326
106	554	25369
107	561	25416
108	563	25267
109	569	25297
110	575	25350
111	582	25419
112	588	25461
113	594	25501
114	601	25556
115	604	25468
116	610	25499
117	617	25535
118	623	25592
119	625	25427
120	631	25445
121	637	25487
122	643	25527
123	649	25555
124	656	25610
125	662	25639
126	669	25681
127	675	25701
128	677	25572
129	678	25433
130	684	25451
131	690	25477
132	691	25322
133	698	25362
134	704	25389
135	710	25413
136	716	25441
137	722	25470
138	723	25315
139	730	25352
140	736	25395
141	743	25422
142	749	25454
143	755	25481
144	762	25515
145	762	25355
146	768	25379
147	774	25403
148	775	25262
149	782	25294
150	788	25330
151	789	25186
152	795	25211
153	802	25239
154	808	25267
155	809	25141
156	815	25165
157	822	25204
158	823	25076
159	824	24948
160	831	24986
161	837	25013
162	843	25042
163	845	24920
164	851	24947
165	857	24984
166	864	25007
167	870	25034
168	871	24918
169	877	24945
170	884	24967
171	890	24988
172	893	24932
173	899	24960
174	906	24987
175	912	25015
176	918	25039
177	920	24949
178	927	24973
179	933	25009
180	940	25041
181	941	24930
182	942	24820
183	948	24838
184	955	24860
185	961	24882
186	967	24913
187	971	24861
188	974	24810
189	981	24835
190	987	24862
191	993	24885
192	995	24800
193	1002	24826
194	1003	24723
195	1009	24751
196	1016	24773
197	1019	24728
198	1026	24756
199	1032	24780
200	1038	24804
201	1039	24694
202	1046	24719
203	1048	24645
204	1054	24668
205	1060	24691
206	1067	24710
207	1073	24732
208	1079	24753
209	1080	24654
210	1087	24685
211	1094	24710
212	1100	24725
213	1106	24746
214	1106	24635
215	1112	24650
216	1119	24673
217	1125	24685
218	1131	24704
219	1137	24721
220	1144	24738
221	1150	24760
222	1157	24787
223	1163	24800
224	1169	24816
225	1175	24840
226	1182	24855
227	1183	24765
228	1189	24783
229	1195	24795
230	1202	24815
231	1208	24830
232	1210	24760
233	1210	24659
234	1216	24675
235	1218	24603
236	1225	24625
237	1227	24556
238	1233	24568
239	1239	24583
240	1241	24515
241	1247	24532
242	1248	24433
243	1255	24469
244	1259	24435
245	1265	24451
246	1271	24468
247	1278	24488
248	1284	24513
249	1286	24448
250	1292	24463
251	1293	24370
252	1299	24383
253	1306	24409
254	1312	24423
255	1319	24445
256	1319	24358
257	1326	24378
258	1332	24400
259	1339	24421
260	1340	24339
261	1346	24357
262	1348	24297
263	1355	24310
264	1362	24336
265	1368	24360
266	1375	24376
267	1375	24291
268	1381	24304
269	1388	24316
270	1390	24256
271	1396	24267
272	1402	24283
273	1408	24296
274	1415	24315
275	1421	24330
276	1428	24353
277	1435	24377
278	1435	24292
279	1442	24311
280	1449	24337
281	1455	24352
282	1462	24372
283	1462	24291
284	1469	24306
285	1469	24228
286	1476	24242
287	1482	24259
288	1489	24272
289	1495	24287
290	1497	24232
291	1497	24152
292	1504	24168
293	1511	24188
294	1517	24207
295	1523	24217
296	1527	24183
297	1527	24104
298	1528	24035
299	1534	24045
300	1541	24067
301	1548	24087
302	1554	24098
303	1557	24066
304	1564	24085
305	1571	24101
306	1573	24046
307	1574	23989
308	1581	24001
309	1587	24012
310	1593	24029
311	1599	24035
312	1605	24047
313	1612	24059
314	1613	23995
315	1619	24006
316	1621	23956
317	1622	23891
318	1623	23827
319	1630	23839
320	1636	23853
321	1642	23866
322	1644	23806
323	1650	23813
324	1653	23783
325	1659	23795
326	1666	23816
327	1672	23825
328	1674	23780
329	1681	23802
330	1688	23814
331	1695	23834
332	1701	23848
333	1707	23860
334	1714	23873
335	1720	23887
336	1727	23902
337	1733	23914
338	1740	23930
339	1747	23945
340	1753	23958
341	1754	23899
342	1761	23913
343	1761	23844
344	1767	23852
345	1771	23823
346	1772	23762
347	1778	23774
348	1784	23787
349	1786	23740
350	1788	23691
351	1790	23645
352	1791	23587
353	1798	23602
354	1804	23614
355	1811	23626
356	1817	23633
357	1823	23646
358	1830	23658
359	1831	23600
360	1836	23604
361	1843	23615
362	1844	23558
363	1850	23572
364	1852	23529
365	1859	23538
366	1865	23554
367	1866	23495
368	1872	23504
369	1879	23516
370	1885	23529
371	1886	23467
